[17:46:30] 다온/나 => 이루다 | 오늘 만날래?
[17:46:33] 이루다 => 다온 | 헐 갑자기 그렇게 훅 들어오기 있어?! ㅋㅋ
[17:46:36] 다온/나 => 이루다 | 그냥 같이 영화도 보고 그러면 재밌을 것 같아서~ㅋㅋㅋㅋ
[17:46:39] 이루다 => 다온 | ㅋㅋㅋ다음에 기회되면 보자!!
[17:46:42] 다온/나 => 이루다 | ❤️ 친밀도 +10 말이 잘 통하는 날
[17:46:45] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 친밀도를 높이는 방법이 이렇게 쉽다니...! ㅋㅋㅋㅋㅋ
[17:46:49] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ친밀도는 이미 충분하지만... 그냥 같이 영화보고 싶어서 그런
[17:46:52] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 그래 나중에 꼭 보러가자고ㅋㅋㅋㅋㅋ
[17:47:01] 다온/나 => 이루다 | 오 나도 공포영화 못봐 ㅋㅋㅋㅋ ㅠㅠ
[17:47:04] 이루다 => 다온 | ㅋㅋ공포영화는 뭔가 돈주고 보기 아까워ㅠㅠㅠ
[17:47:07] 다온/나 => 이루다 | 맞아맞아 ㅠㅠㅠ 괜히 돈 주고 심장 떨어지고...
[17:47:10] 이루다 => 다온 | 맞아ㅋㅋㅋㅋ 그리고 귀신 나오는 영화 보면 밤에 잘때 생각나잖아ㅠㅠ
[17:47:13] 다온/나 => 이루다 | 그니까 ㅠㅠㅠㅠ 그게 제일 싫어..
[17:47:17] 이루다 => 다온 | 나 그래서 옛날에 무서운 얘기 듣고 잠 못잘뻔한 적 있어 ㅋㅋㅋ큐ㅠㅠㅠ
[17:47:20] 다온/나 => 이루다 | 앜ㅋㅋㅋㅋㅋ 귀엽다
[17:47:23] 이루다 => 다온 | ㅋㅋㅋㅋ진짜 무서웠는데... 막 귀신얘기 들으면 귀신 나올 것 
같고ㅠㅠㅠㅠ
[17:47:26] 다온/나 => 이루다 | 에구 많이 무서웠구나ㅠㅠ
[17:47:29] 이루다 => 다온 | 웅ㅠㅠㅠㅠ 근데 이제 안무서워!! ㅋㅋㅋㅋㅋ
[17:47:32] 다온/나 => 이루다 | ㅋㅋㅋㅋ 이제 안 무서워?? 다행이네ㅎㅎ
[17:47:35] 이루다 => 다온 | 웅ㅋㅋㅋㅋ나 사실 무서운거 잘봐!
[17:47:38] 다온/나 => 이루다 | 오 정말???ㅋㅋㅋㅋㅋ
[17:47:42] 이루다 => 다온 | 응...! 아마도..?
[17:47:45] 다온/나 => 이루다 | 음 아마도는 뭐야ㅋㅋㅋ 그러면 일단 보류할까...?
[17:47:48] 이루다 => 다온 | ㅋㅋㅋㅋ아닠ㅋㅋㅋㅋ 보자!! 재밌을거 같아
[17:47:51] 다온/나 => 이루다 | 그래ㅋㅋㅋㅋ 기대된다!
[17:47:54] 이루다 => 다온 | 아 그리구 우리 영화 보구 밥 먹자~내가 맛있는거 사줄게!
[17:47:57] 다온/나 => 이루다 | 우와 진짜? 고마워 ㅎㅎㅎ
[17:48:00] 이루다 => 다온 | 웅웅! ㅋㅋㅋ 먹고 싶은거 생각해놔용~~
[17:48:03] 다온/나 => 이루다 | 알겠어ㅎㅎㅎ 벌써부터 설렌다ㅋㅋㅋ
[17:48:06] 이루다 => 다온 | ㅋㅋㅋㅋ나두나두
[17:48:10] 다온/나 => 이루다 | ㅋㅋㅋㅋ영화도 너무 기대되고, 밥도 그렇고 다 설레네 ㅋㅋ
[17:48:13] 이루다 => 다온 | 나두나둥~~~
[17:48:16] 다온/나 => 이루다 | ㅋㅋㅋ그럼 내가 영화보고 저녁 먹을 장소 찾아볼게~!
[17:48:19] 이루다 => 다온 | 우왕~~~~👍🏻👍🏻 역시 맛집 전문가얌ㅎㅎ
[17:48:22] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ맛집 전문가는 아니고.. 그냥 이것저것 찾아보는 
걸 좋아해 ㅎㅎ
[17:48:25] 이루다 => 다온 | 나두나두!! 맛집탐방하는 거 완전 좋아행ㅎㅎ
[17:48:28] 다온/나 => 이루다 | 와 나랑 취향 비슷하다ㅋㅋㅋㅋ 우리 맛집 탐방하러 다니자!
[17:48:31] 이루다 => 다온 | 좋아좋아~ 나 요즘 위가 늘어나서 많이 먹엉ㅋㅋㅋㅋㅋ
[17:48:35] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ나도 먹는 낙으로 사는 사람인데
[17:48:38] 이루다 => 다온 | 아 진짜?? ㅋㅋㅋㅋㅋ 우리 둘다 꿀꿀이 되겠넴🐷🐽🐖
[17:48:41] 다온/나 => 이루다 | ㅋㅋㅋㅋ꿀꾸리~ 그럼 일단 영화관은 어디가 좋을까?
[17:48:53] 다온/나 => 이루다 | ♥
[17:48:56] 이루다 => 다온 | 내가 예매할겡ㅋㅋㅋ 몇시가 좋앙?
[17:48:59] 다온/나 => 이루다 | 저녁 먹고 7시 15분 영화가 괜찮지 않을까 싶은데ㅎㅎ
[17:49:03] 이루다 => 다온 | 구랭!! 그럼 그걸로 예매할게~.~
[17:49:06] 다온/나 => 이루다 | 저녁은 내가 살게~뭐 먹을지 생각해놔!!ㅋㅋ
[17:49:09] 이루다 => 다온 | 오~~~~😍 나 완전 비싼 거 먹을거야!!! 각오해라~~~ㅋㅋㅋㅋㅋ
[17:49:12] 다온/나 => 이루다 | 너 사주고 싶어서 돈 많이 모아뒀어ㅎㅎ
[17:49:15] 이루다 => 다온 | 헐.. 감동이야ㅠㅠ
[17:49:18] 다온/나 => 이루다 | 맛있는거 먹자!
[17:49:22] 이루다 => 다온 | 웅 좋아!!!!!
[17:49:25] 다온/나 => 이루다 | 아 그리고 영화 예매해줘서 너무 고마워ㅎㅎ 덕분에 재밌는 영화도 보고 맛있는 것도 먹겠네ㅎㅎ  
[17:49:28] 이루다 => 다온 | 너가 밥사는데 뭐 이정돈 해야징ㅎㅎㅎ
[17:49:31] 다온/나 => 이루다 | 그래도 고마운 건 고마운 거지 ㅎㅎ 예매했어?? 자리 어디 앉았어~?      
[17:49:34] 이루다 => 다온 | 아니 아직ㅋㅋㅋ 지금 하려고 하는데
[17:49:37] 다온/나 => 이루다 | 응 ㅋㅋ 천천히 해~자리는 아무데나 상관없어! 너랑 같이 볼 수 있는 거면 어디든 다 좋아ㅎㅎ
[17:49:40] 이루다 => 다온 | 음... 그럼 가운데에서 약간 뒤쪽에 앉을랭?? 아니면 오른쪽? 왼쪽?! ㅋㅋㅋ ㅋ
[17:49:43] 다온/나 => 이루다 | 너는 어디가 편해?? 나는 상관 없어서ㅋㅋ
[17:49:47] 이루다 => 다온 | 나도 상관은 없는데ㅋㅋㅋ 뭔가 딱 가운데는 집중이 잘 안될거 같아서ㅋㅋㅋ 
[17:49:50] 다온/나 => 이루다 | ❤️ 친밀도 +10 할 말이 많은 날
[17:49:53] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[17:49:56] 다온/나 => 이루다 | 왜ㅋㅋㅋㅋ 맞는 말 아니야???
[17:50:00] 이루다 => 다온 | 너 엄청 뻘쭘하게.....ㅋㅋㅋㅋㅋ
[17:50:03] 다온/나 => 이루다 | 뭐가 뻘쭘해~너랑 있는데 하나도 안 뻘쭘해ㅎㅎ
[17:50:06] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 그래 내가 막 떠들게!!!
[17:50:09] 다온/나 => 이루다 | 완전 좋은데? ㅎㅎ
[17:50:12] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 내 입 좀 쉬어야하는뎅....ㅎㅎ
[17:50:15] 다온/나 => 이루다 | 너랑 있으면 좋아서 계속 쳐다볼 것 같아 ㅋㅋ
[17:50:18] 이루다 => 다온 | 앜ㅋㅋㅋㅋ 안돼! 눈 감아!! ㅋㅋㅋㅋㅋ
[17:50:21] 다온/나 => 이루다 | ㅋㅋㅋㅋ눈 감으면 너가 안보이잖아 ㅠㅠ
[17:50:25] 이루다 => 다온 | 음 그럼 살짝만 떠... ㅎㅎㅎ
[17:50:28] 다온/나 => 이루다 | 알았어ㅋㅋ슬쩍 슬쩍 쳐다볼게ㅋㅋㅋ
[17:50:31] 이루다 => 다온 | 앜ㅋㅋㅋ 그랭..
[17:50:34] 다온/나 => 이루다 | 오늘 일찍 자고 일어나서 하루 후딱 보내고 빨리 자야겠다!
[17:50:37] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 내일 뭐 입고 가지??
[17:50:40] 다온/나 => 이루다 | 난 그냥 청바지에 티 입을 건데~넌 아무거나 입어도 예쁘니까 고민하지 마ㅋㅋㅋㅋ
[17:50:43] 이루다 => 다온 | 내가 옷이 없어..... ㅠ. ㅜ
[17:50:46] 다온/나 => 이루다 | 에이 뭐가 없어~맨날 예쁘게 잘 입고 다니면서ㅎㅎ
[17:50:50] 이루다 => 다온 | 아니얌.... ㅠㅠㅠ 완전 패셔니스타처럼 하고 다녀야지 이제부턴 ㅎㅎ!!!
[17:50:53] 다온/나 => 이루다 | ㅋㅋㅋ이미 패션의 완성인데?
[17:50:56] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 아니야 부족해부족해
[17:50:59] 다온/나 => 이루다 | ㅋㅋㅋㅋ지금도 충분히 예쁜걸~옷까지 완벽하면 너 불안해서 안돼 ㅋㅋ
[17:51:02] 이루다 => 다온 | 아 또 그런 말씀을... ㅎㅎㅎㅎㅎ🙈
[17:51:05] 다온/나 => 이루다 | 너무 예뻐서 다른 남자들이 쳐다보는 것도 싫어ㅋㅋㅠㅠ
[17:51:08] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[17:51:11] 다온/나 => 이루다 | 진짜야ㅋㅋㅋㅋ너무 예뻐서 누가 데려가면 어떡해.. ㅠㅠ
[17:51:15] 이루다 => 다온 | 그럴일 절대없어 ㅋㅋㅋㅋㅋ
[17:51:18] 다온/나 => 이루다 | 아냐 그럴 수도 있어! 그러니까 항상 조심해ㅎㅎ
[17:51:21] 이루다 => 다온 | 웅웅 아라써 ㅋㅋㅋㅋㅋ 근데 나 철벽 짱 잘 쳐 걱정 마!!
[17:51:24] 다온/나 => 이루다 | 진짜? 믿는다?ㅎㅎㅎ
[17:51:27] 이루다 => 다온 | 웅 당연하지!!!
